timestamp,key_value,key_event
1741926347.894,SUSPICIOUS ACTIVITY #2: Window lost focus,suspicious_activity
1741926350.822,Window focus restored,focus_restore
1741926406.795,h,KD
1741926406.830,h,KU
1741926409.039,i,KD
1741926409.085,i,KU
1741926437.538,h,KD
1741926437.578,h,KU
1741926439.083,i,KD
1741926439.125,i,KU
1741926550.941,n,KD
1741926551.020,n,KU
1741926552.074,l,KD
1741926552.137,l,KU
1741926552.539,n,KD
1741926552.549,n,KU
1741926618.146,g,KD
1741926618.187,g,KU
1741926635.617,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741926673.970,n,KD
1741926674.005,n,KU
1741926685.848,h,KD
1741926685.870,h,KU
1741926687.025,e,KD
1741926687.085,e,KU
1741926687.284,l,KD
1741926687.363,l,KU
1741926687.451,l,KD
1741926687.535,l,KU
1741926687.721,o,KD
1741926687.787,o,KU
1741926689.047,h,KD
1741926689.105,h,KU
1741926689.146,e,KD
1741926689.211,e,KU
1741926689.267,y,KD
1741926689.327,y,KU
1741926689.497, ,KD
1741926689.591, ,KU
1741926689.701,b,KD
1741926689.788,b,KU
1741926689.819,u,KD
1741926689.913,u,KU
1741926690.001,t,KD
1741926690.066, ,KD
1741926690.076,t,KU
1741926690.163, ,KU
1741926690.248,t,KD
1741926690.317,t,KU
1741926690.346,h,KD
1741926690.415,h,KU
1741926690.505,i,KD
1741926690.579,i,KU
1741926690.599,s,KD
1741926690.657,s,KU
1741926690.749, ,KD
1741926690.833, ,KU
1741926690.994,i,KD
1741926691.061,i,KU
1741926691.124,s,KD
1741926691.177,s,KU
1741926691.243, ,KD
1741926691.325, ,KU
1741926691.454,n,KD
1741926691.520,n,KU
1741926691.634,o,KD
1741926691.695,o,KU
1741926691.800,t,KD
1741926691.857,t,KU
1741926692.524, ,KD
1741926692.617, ,KU
1741926693.064,t,KD
1741926693.151,t,KU
1741926693.178,h,KD
1741926693.225,h,KU
1741926693.300,e,KD
1741926693.361,e,KU
1741926693.453, ,KD
1741926693.517, ,KU
1741926693.575,c,KD
1741926693.631,c,KU
1741926693.723,a,KD
1741926693.797,s,KD
1741926693.812,a,KU
1741926693.903,s,KU
1741926693.993,e,KD
1741926694.055,e,KU
1741926697.211,,KD
1741926697.233,BackSpace,KU
1741926711.610,,KD
1741926711.628,BackSpace,KU
1741926711.944,,KD
1741926712.016,BackSpace,KU
1741926712.418,,KD
1741926712.483,BackSpace,KU
1741926712.906,,KD
1741926712.969,BackSpace,KU
1741926713.229,,KD
1741926713.311,BackSpace,KU
1741926713.545,,KD
